Child,Parent,Parent_Qa,ChildQ
6800239,2141597,66,0
6799053,2141625,1920,0
6800073,2141625,1920,0
6801068,2141625,1920,0
6802037,2141625,1920,0
6802879,2141625,1920,0
6799336,2141778,1050,0
6801150,2141778,1050,0
6798976,2141785,640,0
6800107,2141785,640,0
6801003,2141785,640,0
6798979,2141825,320,0
6800108,2141825,320,0
6801008,2141825,320,0
6801241,2141898,800,0
6802038,2141898,800,0
6802808,2141898,800,0
6799008,2141959,216,0
6800060,2142007,640,0
6798996,2142056,280,0
6799974,2142056,280,0
6800961,2142056,280,0
6802030,2142056,280,0
6802710,2142056,280,0
6799347,2142085,480,0
6799973,2142085,480,0
6801098,2142085,480,0
6801978,2142085,480,0
6802842,2142085,480,0
6801285,2142198,360,0
6801982,2142198,360,0
6802912,2142198,360,0
6802852,2142200,480,0
6798952,2142240,120,0
6800949,2142240,120,0
6802054,2142240,120,0
6798985,2142265,972,0
6799068,2142375,480,0
6800233,2142375,480,0
6801006,2142375,480,0
6802026,2142375,480,0
6802899,2142375,480,0
6799044,2142680,480,0
6801088,2142680,480,0
6801979,2142680,480,0
6802802,2142680,480,0
6801110,2142981,314.5,0
6800062,2143008,240,0
6799341,2143071,3656,0
6799007,2143246,78,0
6800094,2143246,78,0
6799050,2143269,5250,0
6800078,2143269,5250,0
6801102,2143269,5250,0
6801961,2143269,5250,0
6802904,2143269,5250,0
6799604,2143365,600,0
6799006,2143922,6445.53,0
6799049,2144378,2170,0
6800079,2144378,2170,0
6801103,2144378,2170,0
6801962,2144378,2170,0
6802905,2144378,2170,0
6798997,2144530,168,0
6799972,2144530,168,0
6799055,2144656,2600,0
6800248,2144656,2600,0
6801231,2144656,2600,0
6802010,2144656,2600,0
6802815,2144656,2600,0
6801969,2145142,80,0
6799034,2145231,2000,0
6801226,2145231,2000,0
6802191,2145231,2000,0
6800240,2145499,1288,0
6801234,2145499,1288,0
6801981,2145499,1288,0
6802911,2145499,1288,0
6798977,2146131,1129,0
6800113,2146131,1129,0
6801015,2146131,1129,0
6800241,4186886,1553,0
6203703,4191985,43704,0
6801916,4227043,120,0
6801243,4235961,1800,0
6802752,4235961,1800,0
6800111,4236000,1176,0
6801938,4236000,1176,0
6800124,4303970,702,0
6800090,4427020,1208.1,0
6799379,4541437,1491,0
6801148,4541437,1491,0
6798949,4599593,600,0
6799380,4629766,212,0
6800014,4666668,1546,0
6798973,4705253,1566,0
6800110,4705253,1566,0
6801096,4705253,1566,0
6802039,4705253,1566,0
6802814,4705253,1566,0
6800016,5117067,3562.5,0
6802179,5117067,3562.5,0
6800017,5117100,3562.5,0
6802182,5117100,3562.5,0
6799056,5160344,223,0
6801108,5160344,223,0
6798969,5160999,902.44,0
6800116,5441181,475,0
6802015,5441181,475,0
6800087,5481492,319,0
6800086,5481522,143.5,0
6800056,5802608,320,0
6800059,5802654,48,8
6800058,5802723,240,0
6800057,5802776,80,0
6800054,5965209,312.7,0
6800047,5965254,131.2,0
6801107,6367453,136.3,0
6801977,6367453,136.3,0
6802887,6367453,136.3,0
6799041,6367585,800,0
6800101,6367585,800,0
6801109,6367585,800,0
6801976,6367585,800,0
6802886,6367585,800,0
6799042,6367619,350,0
6800095,6367619,350,0
6801105,6367619,350,0
6801975,6367619,350,0
6802885,6367619,350,0
6799043,6367779,492.3,0
6800100,6367779,492.3,0
6801106,6367779,492.3,0
6802884,6367779,492.3,0
6800064,6461982,1867,0
6800997,6461982,1867,0
6802944,6461982,1867,0
6802698,6505603,1543,0
6798842,6559089,400,0
6800061,6715202,224,0
6800099,6799328,239.7,0
6801236,6799328,239.7,0
6801919,6799328,239.7,0
6802812,6799328,239.7,0
6800097,6799329,1400,0
6801232,6799329,1400,0
6801942,6799329,1400,0
6801233,6799330,324,0
6802003,6799330,324,0
6802811,6799330,324,0
6800096,6799410,553.4,0
6801237,6799410,553.4,0
6802008,6799410,553.4,0
6801242,6799412,154.3,0
6802809,6799412,154.3,0
6800098,6799413,610,0
6801238,6799413,610,0
6799297,6799642,809.09,0
6802101,6799642,809.09,0
6802897,6799642,809.09,0
6802898,6799650,316.95,0
6799979,6799702,23.89,0
6802100,6799757,322.4,0
6801407,6800180,2311.5,0
6802004,6800180,2311.5,0
6802896,6800180,2311.5,0
6801406,6800183,1981.5,0
6802007,6800183,1981.5,0
6802895,6800183,1981.5,0
6802278,6800211,108,0
6801265,6800364,650,0
6802196,6800365,650,0
6802040,6800393,316,0
6800948,6800394,1135,0
6802041,6800394,1135,0
6802891,6800394,1135,0
6800947,6800396,800,0
6802060,6800396,800,0
6802855,6800396,800,0
6802194,6801519,1546,0
6802190,6801524,3062.5,0
6802193,6801526,720,0
6802057,6801665,312.7,0
6802701,6801665,312.7,0
6801972,6801677,266,0
6802709,6801828,100,0
6802058,6801863,230.1,0
6802702,6801889,69,0
4168899,2054842,450,0
4169073,2074433,90000,0
4511579,2075782,254.6,0
4411313,2075935,85.5,0
4484714,2077462,1539.7,0
4593430,2077462,1539.7,0
4593790,2077464,54794.9,0
4660068,2077464,54794.9,0
4146988,2078823,160,0
2087137,2079977,300,0
4168926,2080039,5465.62,0
4276407,2080084,49551,0
4234581,2081048,136,0
4485886,2081342,1220,0
4493456,2082103,774,0
4563492,2082103,774,0
4287362,2082443,400,0
4262800,2082771,786,0
4332020,2082771,786,0
4149287,2083846,2080,0
4149230,2084456,1430,0
4484739,2084689,112052.8,0
4593744,2084689,112052.8,0
2038200,2085507,2850,0
6800560,2120468,300,0
6800091,2134541,215,0
6800910,2138306,627.75,0
6798991,2138337,1083.3,0
6800955,2138337,1083.3,0
2095246,2138516,800,105
6801239,2138563,1505,0
6799473,2138639,1120,0
4491949,2138769,915,0
6798948,2139153,400,0
6801224,2139344,936,0
6800376,2139355,634,0
6801097,2139359,3744,0
2146131,2139363,1129,0
6798966,2139429,1816,0
4228109,2139645,2400,0
2032403,2140486,3333,0
6801225,2140694,209,0
6801264,2140787,456,0
6798968,2140848,316,0
6798970,2141170,673,0
6798971,2141971,400,0
6800559,2142274,360,0
6800076,2142680,480,0
6799433,2145499,1288,0
6800354,2234055,120,0
6800215,2274534,120,0
6800553,2274906,120,0
6166244,2275571,40,19.68
5484418,2275987,48,0
6799272,2275987,48,0
6568080,2276482,74,0
6568133,2276482,74,0
6568145,2276482,74,0
6552360,2276525,56,0
6798894,2276525,56,0
6799969,2276525,56,0
6799475,2276790,40,0
6799143,2277356,73.15,0
4311532,2277472,132,0
4716556,2281502,70,0
6087252,2281502,70,0
6504310,2281502,70,0
4716576,2282591,90,0
5605065,2282591,90,0
6798929,2282591,90,0
4249849,2283262,810.7,0
