WR_Doc_ID,Parent,Parent_Qa,AnnualVolumeQuantity_filled
2077540,NULL,,245
2077541,NULL,,542.5
2077542,NULL,,39
2077543,NULL,,35
2077547,NULL,,50
2077548,NULL,,290
2077549,NULL,,410
2077550,NULL,,30
2077551,NULL,,30
2077554,NULL,,200
2077555,NULL,,340
2077556,NULL,,25
2077557,NULL,,275
2077558,NULL,,30
2077560,NULL,,45
2077563,NULL,,8
2077564,NULL,,15
2077565,NULL,,25
2077569,NULL,,59.5
2077570,NULL,,25
2077571,NULL,,50000
2077572,NULL,,350
2077573,NULL,,180
2077574,NULL,,300
2077576,NULL,,196
2077577,NULL,,25
2077579,NULL,,428.2
2077581,NULL,,225
2077584,NULL,,100
2077585,NULL,,500
2077589,NULL,,200
2077686,4191102,116,116
2077687,NULL,,45
2077785,NULL,,125
2077789,NULL,,370
2077790,NULL,,130
2077795,NULL,,51
2077796,NULL,,10
2077798,NULL,,50
2077799,NULL,,25
2077800,NULL,,55
2077801,NULL,,30
2077802,NULL,,100
2077803,NULL,,85
2077804,NULL,,125
2077805,NULL,,125
2077806,NULL,,25
2077808,NULL,,30
2077809,NULL,,100
2077811,NULL,,20
2077812,NULL,,170
2077813,NULL,,125
2077814,NULL,,120
2077815,NULL,,15
2077816,NULL,,65
2077817,NULL,,100
2077818,NULL,,50
2077819,NULL,,30
2077822,2077822,25000,24120
2077823,NULL,,450
2077825,NULL,,30
2077826,NULL,,50
2077828,NULL,,300
2077829,NULL,,25
2077830,NULL,,300
2077839,NULL,,177
2077840,NULL,,80
2077841,NULL,,48
2077842,NULL,,15
2077849,NULL,,61
2077858,NULL,,2
2077859,NULL,,18.15
2077861,NULL,,2.5
2077862,NULL,,1.48
2077863,NULL,,10
2077864,NULL,,2.75
2077865,NULL,,2
2077867,NULL,,1.65
2077869,NULL,,1.4
2077871,NULL,,7.6
2077872,NULL,,1.65
2077873,NULL,,1.25
2077875,NULL,,1.25
2077876,NULL,,5.05
2077877,NULL,,1.55
2077878,NULL,,1.4
2077879,NULL,,2.05
2077880,NULL,,1.25
2077881,NULL,,3.65
2077882,NULL,,15.45
2077884,NULL,,8.75
2077885,NULL,,1.3
2077886,NULL,,7.4
2077887,NULL,,11.4
2077888,NULL,,5.2
2077890,NULL,,10.95
2077892,NULL,,1.55
2077893,NULL,,6.25
2077895,NULL,,1.55
2077896,NULL,,15
2077897,NULL,,1.55
2077898,NULL,,11.65
2077899,NULL,,2.7
2077901,NULL,,30
2077902,NULL,,13.85
2077903,NULL,,1.25
2077904,NULL,,5
2077905,NULL,,1.65
2077906,NULL,,5
2077907,NULL,,5
2077908,NULL,,25
2077909,NULL,,2.5
2077911,NULL,,36
2077917,NULL,,214
2077918,NULL,,150
2077919,NULL,,117
2077920,NULL,,160.95
2077923,NULL,,109
2077924,NULL,,10
2077925,NULL,,10.4
2077926,NULL,,54.7
2077928,2077928,60,20.25
2077929,NULL,,5
2077930,NULL,,10
2077931,NULL,,22
2077932,NULL,,7945
2078008,NULL,,27
2078010,NULL,,12
2078013,NULL,,120
2078016,NULL,,18
2078017,NULL,,51
2078019,NULL,,141
2078020,NULL,,80
2078022,NULL,,200
2078027,NULL,,2
2078043,NULL,,232
2078045,NULL,,59
2078047,NULL,,18
2078056,NULL,,14
2078058,NULL,,22
2078059,NULL,,102
2078061,NULL,,88
2078063,NULL,,155
2078067,NULL,,60
2078068,NULL,,30
2078069,NULL,,1
2078070,NULL,,29
2078078,NULL,,118
2078084,NULL,,133
2078092,NULL,,15
2078098,NULL,,174
2078104,NULL,,171
2078105,NULL,,161
2078106,NULL,,2
2078167,NULL,,80
2078282,NULL,,2
2078292,NULL,,13
2078304,NULL,,162
2078308,NULL,,40
2078312,NULL,,28
2078455,2078455,,1
2078459,NULL,,88
2078460,NULL,,240
2078476,NULL,,120
2078477,NULL,,80
2078488,NULL,,40
2078490,NULL,,160
2078493,NULL,,16
2078499,NULL,,2
2078500,NULL,,2
2078512,NULL,,640
2078514,NULL,,13
2078515,NULL,,428
2078516,NULL,,99
2078519,NULL,,2
2078520,NULL,,100
2078522,NULL,,10
2078533,NULL,,32
2078536,NULL,,180
2078539,NULL,,80
2078541,NULL,,24
2078544,NULL,,7
2078546,NULL,,12.5
2078551,NULL,,8
2078558,NULL,,63
2078562,NULL,,6
2078563,NULL,,6
2078566,NULL,,112
2078568,NULL,,2.25
2078569,NULL,,1.5
2078577,NULL,,256
2078582,NULL,,60
2078586,NULL,,280
2078596,NULL,,2430
2078597,NULL,,156
2078598,NULL,,18
2078612,NULL,,80
2078627,NULL,,312
2078628,NULL,,4
2078630,NULL,,32
2078632,NULL,,60
2078637,NULL,,4
2078640,NULL,,16
2078646,NULL,,140
2078651,NULL,,12160
2078666,NULL,,208
2078668,NULL,,80
2078669,NULL,,80
2078670,NULL,,40
2078672,NULL,,4
2078675,NULL,,4
2078676,NULL,,32
2078689,NULL,,16
2078691,NULL,,100
2078727,NULL,,48
2078733,NULL,,55
2078741,NULL,,7
2078742,NULL,,24
2078744,NULL,,140
2078746,NULL,,90
2078751,NULL,,27
2078752,NULL,,80
2078754,NULL,,80
2078755,NULL,,16
2078759,NULL,,4
2078760,NULL,,44
2078764,NULL,,576
2078765,NULL,,3.6
2078768,NULL,,240
2078772,NULL,,12
2078775,NULL,,12
2078780,NULL,,60
2078781,NULL,,120
2078788,NULL,,24
2078789,NULL,,40
2078791,NULL,,40
2078792,NULL,,20
2078793,NULL,,200
2078797,NULL,,24
2078801,NULL,,240
2078808,NULL,,12
2078814,NULL,,120
2078815,NULL,,40
2078818,NULL,,161.6
2078819,NULL,,40
2078822,NULL,,176
2078823,NULL,,160
2078824,NULL,,80
2078831,NULL,,24
2078838,NULL,,48
2078842,NULL,,36
2078850,NULL,,161
2078851,NULL,,52
2078852,NULL,,54
2078865,NULL,,84
2078871,NULL,,4
2078877,NULL,,72
2078879,NULL,,16
2078886,NULL,,412
2078887,NULL,,1560
2078892,NULL,,47
2078895,NULL,,60
2078901,NULL,,12
2078904,NULL,,60
2078905,NULL,,200
2078958,4190325,80,80
2078963,NULL,,160
2078965,NULL,,240
2078969,NULL,,192
2078974,NULL,,200
2078977,NULL,,34.84
2078997,NULL,,48
2079000,NULL,,48
2079002,NULL,,72
2079003,NULL,,240
2079012,NULL,,190
2079013,NULL,,30
2079015,NULL,,86
2079017,NULL,,250
2079019,NULL,,70
2079020,NULL,,60
2079022,NULL,,40
2079024,NULL,,60
2079026,NULL,,20
2079030,NULL,,175
2079041,NULL,,48
2079045,NULL,,160
2079046,NULL,,240
2079052,NULL,,28
2079055,NULL,,200
2079056,NULL,,540
2079058,NULL,,48
2079064,NULL,,520
2079066,NULL,,46.76
2079070,NULL,,140
2079072,NULL,,48
2079073,NULL,,694.56
2079077,NULL,,40
2079082,NULL,,30
2079084,NULL,,24
2079088,NULL,,575.5
2079090,NULL,,318.5
2079093,NULL,,73
2079094,NULL,,4128
2079095,NULL,,193.5
2079096,NULL,,106
2079098,NULL,,166
2079099,NULL,,55
2079101,NULL,,67.5
2079102,NULL,,88
2079103,NULL,,50
2079104,NULL,,200
2079109,NULL,,30
2079112,NULL,,32
2079113,NULL,,48
2079117,NULL,,40
2079118,NULL,,98
2079119,NULL,,32
2079124,NULL,,18
2079126,NULL,,192
2079129,NULL,,156
2079135,NULL,,21.6
2079136,NULL,,193.96
2079137,NULL,,260
2079142,NULL,,292
2079144,NULL,,56
2079146,NULL,,140
