WaRecId,WaRecChangeIntentTypeCode
4313150,ChangePlaceOfUse
4602677,ChangePartOfWR
4602677,ChangePurpose
4602677,AddSource
4498960,ChangePlaceOfUse
4498960,AddSource
4498960,ChangePurpose
4498960,ChangeEntireWR
4244575,AddSource
4244575,ChangePlaceOfUse
4244575,ChangePurpose
4244575,ChangeSource
4485788,ChangeOther
2032995,ChangeSource
2032995,ChangePlaceOfUse
2032995,AddSource
2084880,AddSource
2084880,ChangeSource
4244536,AddSource
4244536,ChangePurpose
4244536,ChangePlaceOfUse
4186992,ChangePlaceOfUse
4164918,ChangeSource
4164918,ChangePlaceOfUse
4244557,AddSource
4244557,ChangePurpose
4244557,ChangePlaceOfUse
4244557,ChangeSource
2086730,ChangeOther
4190754,ChangePlaceOfUse
2032330,AddSource
2032330,ChangeSource
2032364,ChangePurpose
2032364,ChangeSource
2032364,AddSource
2032423,ChangeSource
2032423,AddSource
2032424,ChangeSource
2032424,AddSource
2032436,ChangeSource
2032436,AddSource
2032442,ChangeSource
2032442,AddSource
2032466,ChangeSource
2032466,AddSource
2032467,ChangeSource
2032467,AddSource
2032467,ChangePartOfWR
2032468,ChangePartOfWR
2032468,ChangeSource
2032468,AddSource
2032473,ChangeSource
2032473,AddSource
2032486,ChangeSource
2032486,AddSource
2032516,AddSource
2032516,ChangePartOfWR
2032578,ChangeSource
2032582,ChangeSource
2032584,ChangeSource
2032585,ChangeSource
2032586,ChangeSource
2032587,ChangePartOfWR
2032587,ChangeSource
2032587,AddSource
2032588,ChangePartOfWR
2032588,ChangeSource
2032588,AddSource
2032590,ChangeSource
2032590,AddSource
2032590,ChangePartOfWR
2032598,ChangeSource
2032598,AddSource
2032599,ChangeSource
2032599,AddSource
2032624,ChangeSource
2032624,AddSource
2032680,AddSource
2032680,ChangePartOfWR
2032781,AddSource
2032786,ChangeSource
2032786,ChangePartOfWR
2032791,ChangePartOfWR
2032791,AddSource
2032803,AddSource
2032803,ChangePartOfWR
2032804,ChangeSource
2032804,ChangePartOfWR
2032804,AddSource
2032805,AddSource
2032805,ChangeSource
2032805,ChangePartOfWR
2032811,AddSource
2032811,ChangePartOfWR
2032812,AddSource
2032812,ChangePartOfWR
2032821,AddSource
2032821,ChangePartOfWR
2032821,ChangeSource
2032828,ChangePartOfWR
2032828,AddSource
2032830,AddSource
2032830,ChangePartOfWR
2032830,ChangeSource
2032831,AddSource
2032831,ChangeSource
2032831,ChangePartOfWR
2032833,AddSource
2032833,ChangePartOfWR
2032837,AddSource
2032861,ChangePartOfWR
2032861,AddSource
2032861,ChangeSource
2032868,ChangePartOfWR
2032868,ChangeSource
2032868,AddSource
2032871,ChangeSource
2032871,AddSource
2032871,ChangePartOfWR
2032874,AddSource
2032874,ChangePartOfWR
2032875,AddSource
2032875,ChangePartOfWR
2032972,ChangeSource
2032972,AddSource
2032972,ChangePartOfWR
2032973,ChangeSource
2032973,AddSource
2032974,ChangePartOfWR
2032974,AddSource
2032976,ChangePartOfWR
2032976,AddSource
2032977,ChangeSource
2032977,AddSource
2032977,ChangePartOfWR
2032978,ChangeSource
2032978,AddSource
2032978,ChangePartOfWR
2032979,ChangeSource
2032979,AddSource
2032979,ChangePartOfWR
2032980,ChangePartOfWR
2032980,AddSource
2032981,AddSource
2032981,ChangePartOfWR
2033014,ChangePartOfWR
2033014,AddSource
2033018,ChangeSource
2033018,AddSource
2033018,ChangePartOfWR
2033020,AddSource
2033020,ChangePartOfWR
2033022,AddSource
2033024,AddSource
2033024,ChangePartOfWR
2033026,ChangePartOfWR
2033026,AddSource
2033039,AddSource
2033039,ChangePartOfWR
2084656,AddSource
2084788,AddSource
2085022,AddSource
2085057,AddSource
2085070,AddSource
2085072,AddSource
2085072,ChangePartOfWR
2085073,AddSource
2085073,ChangePartOfWR
2085075,AddSource
2085075,ChangePartOfWR
2085080,ChangePartOfWR
2085080,AddSource
2085142,ChangePartOfWR
2085142,ChangeSource
2085143,AddSource
2085143,ChangePartOfWR
2085144,AddSource
2085144,ChangePartOfWR
2085206,AddSource
2085206,ChangePartOfWR
2085272,AddSource
2085272,ChangePartOfWR
2086881,ChangeSource
2086881,ChangePartOfWR
2086881,AddSource
2087166,ChangePartOfWR
2087166,ChangeSource
2087226,ChangePartOfWR
2087226,ChangeSource
2087226,AddSource
2087518,ChangePartOfWR
2087518,AddSource
2087518,ChangeSource
2087519,ChangePartOfWR
2087519,AddSource
2087520,AddSource
2087522,AddSource
2087522,ChangePartOfWR
2087523,ChangePartOfWR
2087523,AddSource
2087588,ChangePartOfWR
2087588,ChangePurpose
2087588,AddSource
2087673,AddSource
2087673,ChangeSource
2087673,ChangePartOfWR
2087687,ChangePartOfWR
2087687,AddSource
2087687,ChangeSource
2087704,AddSource
2087704,ChangePartOfWR
2087713,ChangePartOfWR
2087713,ChangeSource
2087713,ChangeSource
4462610,AddSource
4462610,ChangePartOfWR
5921254,ChangePlaceOfUse
5921254,WRAOther
5921254,ChangeEntireWR
5921254,ChangePurpose
2032865,ChangeSource
2086918,ChangeSource
2086918,ChangePurpose
2087733,ChangePlaceOfUse
2087733,ChangePurpose
2087733,ChangeOther
2087733,WRAOther
2087129,ChangeSource
2087129,ChangePartOfWR
2087732,ChangePlaceOfUse
2087732,ChangeEntireWR
2087732,ChangePurpose
2087732,ChangeOther
6085225,ChangePartOfWR
6085225,WRAOther
6085225,ChangePurpose
6085225,ChangePlaceOfUse
2032496,ChangeSource
2084789,AddSource
2084789,ChangeSource
2084789,ChangeEntireWR
2084789,ChangePlaceOfUse
2087602,ChangeSource
2087602,ChangeEntireWR
2085258,ChangeEntireWR
2085258,AddSource
2075386,ChangePlaceOfUse
2086728,ChangePlaceOfUse
2084879,AddSource
4193958,AddSource
4185276,ChangeEntireWR
4185276,AddSource
2087124,ChangeSource
2087216,ChangePlaceOfUse
2087216,AddSource
4218354,ChangeSource
4218354,AddSource
5602069,ChangePlaceOfUse
5602069,ChangeEntireWR
2086766,ChangeEntireWR
2086766,ChangeOther
2075482,AddSource
2075482,ChangeSource
2084544,ChangePlaceOfUse
4653835,AddSource
4653835,ChangeSource
4653835,ChangePlaceOfUse
4653835,ChangePurpose
2032602,ChangePlaceOfUse
2032602,AddSource
2032602,ChangeEntireWR
2084865,AddSource
4653906,ChangeSource
4653906,ChangePlaceOfUse
4653906,AddSource
4653906,ChangePurpose
4187474,ChangePlaceOfUse
4187474,AddSource
4187474,AddIrrigatedArea
4323697,AddPurpose
4323697,ChangePlaceOfUse
4323697,AddSource
4159603,ChangeEntireWR
4159603,AddIrrigatedArea
4159603,ChangePlaceOfUse
2032550,ChangeOther
2085116,ChangeSource
2085116,ChangeEntireWR
2085116,ChangePlaceOfUse
5525253,AddSource
5525253,ChangePlaceOfUse
2085056,AddSource
2086923,ChangePlaceOfUse
2086923,ChangePurpose
5921637,ChangePartOfWR
5921637,ChangePlaceOfUse
5921637,ChangeSource
4187490,ChangePlaceOfUse
4187490,AddIrrigatedArea
4187490,AddSource
4225078,ChangeSource
6323850,ChangeSource
6323850,ChangePartOfWR
6323850,AddSource
6323850,ChangePlaceOfUse
4415523,ChangePurpose
4415523,ChangePlaceOfUse
4415523,AddSource
4692553,ChangePlaceOfUse
4692553,AddSource
4692553,ChangeOther
2084506,ChangePlaceOfUse
2084506,AddSource
2084506,ChangeSource
4414762,AddSource
2085069,ChangeEntireWR
2085069,AddSource
2086903,AddSource
4529470,ChangePlaceOfUse
2032398,ChangeEntireWR
2032398,ChangeSource
2032398,AddSource
4149841,AddSource
4149841,ChangePlaceOfUse
4149841,Consolidate
4149841,ChangeEntireWR
2032461,ChangePurpose
2032461,AddSource
2032461,ChangePlaceOfUse
2085119,ChangePlaceOfUse
2084507,AddSource
2032401,AddSource
2032401,ChangeSource
2032401,ChangeEntireWR
2032593,ChangeSource
4149821,Consolidate
4149821,AddSource
4149821,ChangeEntireWR
4149821,ChangePlaceOfUse
2085003,ChangePlaceOfUse
2085003,AddSource
2085278,AddSource
2085278,ChangePlaceOfUse
2087278,ChangeEntireWR
6799932,ChangePlaceOfUse
6799932,ChangeEntireWR
4588780,AddSource
4588780,ChangeOther
2086908,ChangeOther
4342532,AddSource
2085279,ChangePlaceOfUse
2085279,AddSource
2087231,AddSource
2087231,ChangePlaceOfUse
2087279,ChangeEntireWR
2087279,ChangePlaceOfUse
4185227,AddIrrigatedArea
5646709,AddSource
2085203,ChangePlaceOfUse
2087526,AddSource
4653924,ChangeSource
4653924,ChangePlaceOfUse
4653924,ChangePurpose
4653924,AddSource
2032379,ChangePlaceOfUse
2032379,AddSource
6800189,AddSource
6800189,ChangeEntireWR
5320062,AddIrrigatedArea
5320062,ChangeEntireWR
5320062,ChangePlaceOfUse
6800950,ChangePartOfWR
6800950,ChangePlaceOfUse
6800950,AddSource
6726434,ChangeEntireWR
6726434,AddSource
2075393,ChangeEntireWR
2075393,ChangeSource
2075393,AddSource
2087230,ChangeSource
6799835,AddSource
6799835,ChangeEntireWR
2032610,ChangePlaceOfUse
6801292,WRAOther
6801292,ChangePlaceOfUse
6801292,ChangeEntireWR
6260823,ChangePlaceOfUse
6260889,ChangePlaceOfUse
6260913,ChangePlaceOfUse
6261023,ChangePlaceOfUse
4546032,AddSource
4546032,ChangeEntireWR
2087203,ChangePlaceOfUse
2087203,ChangeSource
2033001,AddSource
6801619,ChangeEntireWR
6801619,AddSource
6801619,ChangeOther
2032387,ChangePlaceOfUse
4175388,ChangePlaceOfUse
2032386,ChangePlaceOfUse
