Child,Parent,Parent_Qa,relinqQa
2033034,2074433,90000,0
2084839,2083728,168,0
2088849,2133251,352,0
4147751,2144397,420,0
4548347,4541455,288,0
4519341,2047301,36,0
4201856,2048277,64,0
2032326,2049249,96,0
4314183,2076073,30,0
2087382,2077224,77,0
4257093,2078116,160,0
4492071,2078137,152,0
2075382,2079492,80.8,0
4249180,2079494,25,0
4152139,2079867,357,0
2032975,2080039,5465.62,0
4441038,2080610,226,0
4440965,2081534,420,0
2032814,2082723,19,0
4441115,2082848,80,0
4441307,2082862,185,0
4144333,2083106,186,0
4144398,2083112,320,0
4144429,2083248,400,0
4334390,2083334,128,0
2075395,2083783,8000,0
2087529,2084322,1448,0
2085160,2084588,1095,0
4492036,2087271,66.7,0
6221860,2088168,905.6,0
4181946,2095325,1150,0
6801393,2129901,331,0
2145076,2131758,16773,0
6270428,2134232,395.5,0
4541688,2135968,90,0
4181963,2137741,1411,0
6270455,2139188,2690,0
2084504,2139839,382.9,0
4413505,2139950,32,0
4144421,2140493,175,0
4550168,2140737,1320,0
4550136,2140747,1077,0
4550156,2141163,1320,0
4540708,2142676,500,0
4713981,2143269,5250,0
4549854,2143321,1200,0
2154019,2207778,2,0
6802168,2213687,62,0
6800844,2214159,100,0
4202449,2218392,114,0
2223103,2218959,38,0
4646358,2274278,551,0
4212472,2282918,4386,0
2282939,2282939,203,0
4152239,4152231,43,0
2084882,4157541,112,0
2084850,4189610,30,0
4238561,4200712,23,0
4270284,4223954,2320,0
2141431,4274219,160,0
4265604,4274219,160,0
4476088,4475656,148,0
4540652,2050237,3165,0
4145876,2080149,8,0
4149732,2081173,17.9,0
4228653,2279195,640,0
6460359,2135928,76,0
6460420,2139546,52,0
4160475,2210631,52,0
6800725,2140460,604,0
6800729,2140462,1694,0
6800768,2128815,1694,0
6800786,2128813,2178,0
6800790,2128814,1208,0
6800740,2140461,1090,0
