ParentWaRecId	ChildWaRecId	IsMitigationFlag
2066333	6802137	False
2066857	4166396	
2067309	2087663	
2067604	4529958	
2067604	6802780	False
2067631	4594136	
2067715	2075478	
2067715	2085214	
2067715	4436597	
2067890	4189636	
2068213	2032957	False
2068655	2032816	False
2068673	4296728	
2068673	5042443	False
2068707	2075502	False
2068710	5480745	
2068884	2085231	
2069095	2085195	False
2069095	2085237	False
2069095	4157967	
2069095	6774736	False
2069095	6800524	False
2069231	2087087	
2069330	2087328	
2069860	2087271	
2070495	2032556	
2070495	4171416	
2070517	4263493	
2070556	4156809	
2070556	4647739	
2070556	5162044	
2070556	5162050	
2070556	5162056	
2070556	5162062	
2070556	6801189	False
2070852	5319900	
2070852	5405110	False
2070852	5405144	False
2070852	5405178	False
2070852	6166558	False
2070852	6801630	False
2070852	6802107	False
2070852	6802125	False
2070852	6802249	False
2070852	6802942	False
2070985	4410732	
2071255	2071255
2082968	2087341	
2078567	2087456
2071255	2087221
2080649 2087531	
2071559	4424046	
2071606	2087196	
2071606	2087327	
2071606	2087433	
2071704	4423592	
2071882	6799955	
2072048	4144445	
2072329	4502917	
2072329	4695838	
2072330	4503121	
2072330	4695787	
2072364	4519844	
2072594	2084652
2087659 2087659
2064387 2087697
2145433	2145433
4442887 4767199
4147092 4147092
4228060 4228060
4270542 4270542
4272202 4272202
4236779 4236779
4237360	4237360
4246013 4246013
4249631 4249631
4445180 4445180	
2073069	5405368	
2073183	2032753	
2073426	4259831	
2073427	4259852	
2073469	2084529	False
2073598	4157611	
2073844	4287932	
2073891	4148741	
2073891	4231117	
2074103	4189786	
2074103	4189792	
2074114	2086992	
2074135	4484385
4147258	4147258
4147269 4147269
4206123 4206123
4226216 4226216
4227036 4227036
2074135	4615298	
2074135	6220014	
2074135	6800304	
2074228	4656324	
2074368	2087131	
2074368	2087193	
2074433	2032321	False
2074433	2032323	False
2074433	2032325	False
2074433	2032405	False
2074433	2032419	False
2074433	2032576	False
2074433	2032579	
2074433	2032583	False
2074433	2032589	False
2074433	2032596	False
2074433	2032621	False
2074433	2032625	False
2074433	2032759	False
2074433	2032784	False
2074433	2032792	False
2074433	2032793	False
2074433	2032794	False
2074433	2032806	False
2074433	2032807	False
2074433	2032808	
2074433	2032809	False
2074433	2032810	False
2074433	2032820	
